UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4,Courses Group 5,Courses Group 6,Courses Group 7,Courses Group 8
University of California Riverside,Cabrillo College,CS 10B,CS 19 (4.00),,,,,,,
University of California Riverside,Cabrillo College,MATH 9A; MATH 9B; MATH 9C,MATH 5A (5.00); MATH 5B (5.00),,,,,,,
University of California Riverside,Cabrillo College,PHYS 40A,PHYS 4A (5.00),,,,,,,
University of California Riverside,Cabrillo College,CS 11,MATH 23 (4.00),,,,,,,
University of California Riverside,Cabrillo College,CS 10C,CS 21 (4.00),,,,,,,
University of California Riverside,Cabrillo College,CS 61,CS 24 (4.00),,,,,,,
University of California Riverside,Cabrillo College,MATH 10A,MATH 5C (5.00),,,,,,,
University of California Riverside,Cabrillo College,PHYS 40B,PHYS 4A (5.00); PHYS 4C (5.00),,,,,,,
University of California Riverside,Cabrillo College,PHYS 40C,PHYS 4B (5.00),,,,,,,
University of California Riverside,Cabrillo College,EE 20B,Not Articulated,,,,,,,
University of California Riverside,Cabrillo College,MATH 31,MATH 6 (3.00),,,,,,,
University of California San Diego,Cabrillo College,CSE 8A,CS 12J (4.00),CS 11 (4.00),CS 12P (4.00),,,,,
University of California San Diego,Cabrillo College,CSE 8B,Not Articulated,,,,,,,
University of California San Diego,Cabrillo College,CSE 11,CS 20J (4.00),,,,,,,
University of California San Diego,Cabrillo College,CSE 12,CS 21 (4.00),,,,,,,
University of California San Diego,Cabrillo College,CSE 15L,Not Articulated,,,,,,,
University of California San Diego,Cabrillo College,CSE 20,CS 23 (4.00),MATH 23 (4.00),,,,,,
University of California San Diego,Cabrillo College,CSE 21,Not Articulated,,,,,,,
University of California San Diego,Cabrillo College,CSE 30,CS 24 (4.00),,,,,,,
University of California San Diego,Cabrillo College,MATH 18,MATH 6 (3.00),,,,,,,
University of California San Diego,Cabrillo College,MATH 20A,MATH 5A (5.00),,,,,,,
University of California San Diego,Cabrillo College,MATH 20B,MATH 5B (5.00),,,,,,,
University of California San Diego,Cabrillo College,MATH 20C,MATH 5C (5.00),,,,,,,
University of California San Diego,Cabrillo College,BILD 1,BIO 9A (5.00); BIO 9B (5.00),,,,,,,
University of California San Diego,Cabrillo College,BILD 2,BIO 9A (5.00); BIO 9B (5.00),,,,,,,
University of California San Diego,Cabrillo College,BILD 3,BIO 9A (5.00); BIO 9B (5.00),,,,,,,
University of California San Diego,Cabrillo College,CHEM 6A,CHEM 1A (5.00),,,,,,,
University of California San Diego,Cabrillo College,CHEM 6B,CHEM 1A (5.00); CHEM 1B (5.00),,,,,,,
University of California San Diego,Cabrillo College,PHYS 2A,PHYS 4A (5.00),,,,,,,
University of California San Diego,Cabrillo College,PHYS 2B,PHYS 4B (5.00),,,,,,,
University of California San Diego,Cabrillo College,PHYS 4A,Not Articulated,,,,,,,
University of California San Diego,Cabrillo College,PHYS 4B,Not Articulated,,,,,,,
University of California Santa Barbara,Cabrillo College,MATH 3A,MATH 5A (5.00),,,,,,,
University of California Santa Barbara,Cabrillo College,MATH 3B,MATH 5B (5.00),,,,,,,
University of California Santa Barbara,Cabrillo College,MATH 4A,MATH 6 (3.00),,,,,,,
University of California Santa Barbara,Cabrillo College,MATH 4B,MATH 7 (3.00),,,,,,,
University of California Santa Barbara,Cabrillo College,CMPSC 16,CS 11 (4.00),CS 11M (4.00),,,,,,
University of California Santa Barbara,Cabrillo College,CMPSC 24,CS 11 (4.00); CS 21 (4.00),CS 11M (4.00); CS 21 (4.00),,,,,,
University of California Santa Barbara,Cabrillo College,CMPSC 40,CS 23 (4.00),MATH 23 (4.00),,,,,,
University of California Santa Barbara,Cabrillo College,CMPSC 32,CS 19 (4.00),,,,,,,
University of California Santa Barbara,Cabrillo College,CMPSC 64,CS 24 (4.00),,,,,,,
University of California Santa Barbara,Cabrillo College,MATH 6A,MATH 5C (5.00),,,,,,,
University of California Santa Barbara,Cabrillo College,PHYS 1,PHYS 4A (5.00),,,,,,,
University of California Santa Barbara,Cabrillo College,PHYS 2,PHYS 4A (5.00); PHYS 4B (5.00); PHYS 4C (5.00),,,,,,,
University of California Santa Barbara,Cabrillo College,PHYS 3; PHYS 3L,PHYS 4A (5.00); PHYS 4B (5.00); PHYS 4C (5.00),,,,,,,
University of California Santa Barbara,Cabrillo College,PHYS 6A; PHYS 6AL; PHYS 6B; PHYS 6BL; PHYS 6C; PHYS 6CL,PHYS 2A (4.00); PHYS 2B (4.00),,,,,,,
University of California Santa Barbara,Cabrillo College,PHYS 7A,PHYS 4A (5.00),,,,,,,
University of California Santa Barbara,Cabrillo College,PHYS 7B,PHYS 4A (5.00); PHYS 4B (5.00),,,,,,,
University of California Santa Barbara,Cabrillo College,PHYS 7C,PHYS 4B (5.00); PHYS 4C (5.00),,,,,,,
University of California Santa Barbara,Cabrillo College,PHYS 7D,PHYS 4C (5.00),,,,,,,
University of California Santa Barbara,Cabrillo College,PHYS 7L,PHYS 4B (5.00),,,,,,,
University of California Santa Barbara,Cabrillo College,CHEM 1A; CHEM 1AL; CHEM 1B; CHEM 1BL; CHEM 1C; CHEM 1CL,CHEM 1A (5.00); CHEM 1B (5.00),,,,,,,
University of California Santa Barbara,Cabrillo College,MCDB 1A; MCDB 1LL,BIO 9A (5.00); BIO 9B (5.00),,,,,,,
University of California Santa Barbara,Cabrillo College,MCDB 1B,BIO 9A (5.00); BIO 9B (5.00),,,,,,,
University of California Santa Barbara,Cabrillo College,PSTAT 120A,Not Articulated,,,,,,,
University of California Santa Cruz,Cabrillo College,CSE 12,CS 24 (4.00),,,,,,,
University of California Santa Cruz,Cabrillo College,CSE 16,CS 23 (4.00),MATH 23 (4.00),,,,,,
University of California Santa Cruz,Cabrillo College,CSE 30,CS 20P (4.00),CS 21 (4.00),,,,,,
University of California Santa Cruz,Cabrillo College,MATH 19A,MATH 5A (5.00),,,,,,,
University of California Santa Cruz,Cabrillo College,MATH 19B,MATH 5B (5.00),,,,,,,
University of California Santa Cruz,Cabrillo College,AM 10,MATH 6 (3.00),,,,,,,
University of California Santa Cruz,Cabrillo College,MATH 21,MATH 6 (3.00),,,,,,,
University of California Santa Cruz,Cabrillo College,AM 30,MATH 5C (5.00),,,,,,,
University of California Santa Cruz,Cabrillo College,MATH 23A,MATH 5C (5.00),,,,,,,
